category,name,url,description,nested
Platforms,Node.js,https://github.com/sindresorhus/awesome-nodejs#readme,Async non-blocking event-driven JavaScript runtime built on Chrome's V8 JavaScript engine.,false
Platforms,Cross-Platform,https://github.com/bcoe/awesome-cross-platform-nodejs#readme,Writing cross-platform code on Node.js.,true
Platforms,Frontend Development,https://github.com/dypsilon/frontend-dev-bookmarks#readme,,false
Platforms,iOS,https://github.com/vsouza/awesome-ios#readme,Mobile operating system for Apple phones and tablets.,false
Platforms,Android,https://github.com/JStumpp/awesome-android#readme,Mobile operating system developed by Google.,false
Platforms,IoT & Hybrid Apps,https://github.com/weblancaster/awesome-IoT-hybrid#readme,,false
Platforms,Electron,https://github.com/sindresorhus/awesome-electron#readme,Cross-platform native desktop apps using JavaScript/HTML/CSS.,false
Platforms,Cordova,https://github.com/busterc/awesome-cordova#readme,JavaScript API for hybrid apps.,false
Platforms,React Native,https://github.com/jondot/awesome-react-native#readme,JavaScript framework for writing natively rendering mobile apps for iOS and Android.,false
Platforms,Xamarin,https://github.com/XamSome/awesome-xamarin#readme,"Mobile app development IDE, testing, and distribution.",false
Platforms,Containers,https://github.com/Friz-zy/awesome-linux-containers#readme,,true
Platforms,eBPF,https://github.com/zoidbergwill/awesome-ebpf#readme,Virtual machine that allows you to write more efficient and powerful tracing and monitoring for Linux systems.,true
Platforms,Arch-based Projects,https://github.com/PandaFoss/Awesome-Arch#readme,Linux distributions and projects based on Arch Linux.,true
Platforms,AppImage,https://github.com/AppImageCommunity/awesome-appimage#readme,Package apps in a single file that works on various mainstream Linux distributions.,true
Platforms,Omarchy,https://github.com/aorumbayev/awesome-omarchy#readme,Opinionated Arch Linux and Hyprland desktop environment from the creator of Ruby on Rails.,true
Platforms,Screensavers,https://github.com/agarrharr/awesome-macos-screensavers#readme,,true
Platforms,Apps,https://github.com/jaywcjlove/awesome-mac#readme,,true
Platforms,Open Source Apps,https://github.com/serhii-londar/open-source-mac-os-apps#readme,,true
Platforms,watchOS,https://github.com/yenchenlin/awesome-watchos#readme,Operating system for the Apple Watch.,false
Platforms,JVM,https://github.com/deephacks/awesome-jvm#readme,,false
Platforms,Salesforce,https://github.com/mailtoharshit/awesome-salesforce#readme,,false
Platforms,Amazon Web Services,https://github.com/donnemartin/awesome-aws#readme,,false
Platforms,Windows,https://github.com/0pandadev/awesome-windows#readme,Consumer desktop operating system.,false
Platforms,PowerToys Run Plugins,https://github.com/hlaueriksson/awesome-powertoys-run-plugins#readme,Community plugins for the Windows quick launcher.,true
Platforms,IPFS,https://github.com/ipfs/awesome-ipfs#readme,P2P hypermedia protocol.,false
Platforms,Fuse,https://github.com/fuse-compound/awesome-fuse#readme,Mobile development tools.,false
Platforms,Heroku,https://github.com/ianstormtaylor/awesome-heroku#readme,Cloud platform as a service.,false
Platforms,Raspberry Pi,https://github.com/thibmaek/awesome-raspberry-pi#readme,"Credit card-sized computer aimed at teaching kids programming, but capable of a lot more.",false
Platforms,Qt,https://github.com/JesseTG/awesome-qt#readme,Cross-platform GUI app framework.,false
Platforms,WebExtensions,https://github.com/fregante/Awesome-WebExtensions#readme,Cross-browser extension system.,false
Platforms,Smart TV,https://github.com/vitalets/awesome-smart-tv#readme,Create apps for different TV platforms.,false
Platforms,GNOME,https://github.com/Kazhnuz/awesome-gnome#readme,Simple and distraction-free desktop environment for Linux.,false
Platforms,KDE,https://github.com/francoism90/awesome-kde#readme,A free software community dedicated to creating an open and user-friendly computing experience.,false
Platforms,.NET,https://github.com/quozd/awesome-dotnet#readme,,false
Platforms,Core,https://github.com/thangchung/awesome-dotnet-core#readme,,true
Platforms,Roslyn,https://github.com/ironcev/awesome-roslyn#readme,Open-source compilers and code analysis APIs for C# and VB.NET languages.,true
Platforms,DigitalOcean,https://github.com/jonleibowitz/awesome-digitalocean#readme,Cloud computing platform designed for developers.,false
